Wavelength,A1,A2,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6
525,229,31107,176,27892,31612,34007,34105,37167,37786,33741,26562,17724,11163,6430,3345,2105,1039,643,446,380
530,264,34936,202,31573,35480,38160,38390,41708,42714,38245,30038,20280,13039,7504,3893,2438,1215,758,523,448
535,284,35847,215,32467,36395,39360,39430,42872,43939,39120,31147,21303,13808,7996,4155,2586,1299,811,555,476
540,284,34467,218,31136,34958,37727,37739,41256,42277,37902,30211,20782,13703,7958,4140,2570,1296,809,560,480
545,277,31813,213,28810,32359,34787,34961,38047,39205,35153,28154,19611,13031,7663,3944,2471,1230,781,542,461
550,265,29109,202,26175,29465,31700,31926,34868,35776,32047,25905,18200,12175,7128,3692,2300,1156,734,516,439
555,257,26893,198,24247,27218,29286,29348,32154,32962,29609,23969,16899,11395,6703,3482,2153,1098,696,489,418
560,251,25109,196,22652,25452,27483,27567,30263,30951,27860,22480,15942,10772,6364,3304,2064,1044,675,469,405
565,246,23772,193,21471,24072,26031,25970,28505,29137,26413,21296,15177,10342,6080,3167,1982,1005,647,463,393
570,238,22207,190,19862,22327,24041,24052,26384,27205,24452,19932,14251,9709,5769,2984,1864,947,616,439,375
575,227,20231,178,18277,20544,22099,22127,24205,25028,22598,18290,13122,8995,5331,2773,1751,889,578,417,356
580,214,18309,168,16502,18490,19914,19935,21865,22616,20438,16570,12000,8295,4903,2556,1604,818,535,389,331
585,194,16125,156,14546,16322,17458,17505,19346,19886,17875,14724,10668,7348,4344,2271,1426,723,474,352,299
590,173,14151,142,12693,14292,15391,15320,16809,17389,15785,12855,9362,6469,3847,2005,1254,645,427,314,270
595,156,12343,127,11023,12293,13309,13389,14583,15257,13702,11256,8178,5672,3360,1747,1095,567,371,284,237
600,141,10619,116,9490,10670,11492,11509,12577,12990,11820,9719,7061,4905,2890,1513,947,492,329,251,211
605,128,9332,106,8305,9354,10052,10050,10947,11407,10304,8490,6205,4317,2561,1339,837,437,296,229,189
610,119,8166,98,7286,8146,8794,8792,9608,9951,9039,7494,5494,3804,2255,1180,742,390,265,210,172
615,111,7143,92,6398,7176,7716,7674,8402,8733,7946,6562,4832,3316,1986,1036,654,347,238,195,155
620,103,6326,87,5621,6316,6801,6759,7388,7693,7000,5794,4272,2953,1767,924,589,313,218,181,141
625,96,5457,81,4891,5486,5925,5899,6443,6658,6073,5061,3743,2578,1536,815,520,278,195,163,134