PHZadded_from_swv,treatment,reactor,run,echem_from_swv,rep,minutes_from_swv,E_from_maxs_from_swv,PHZaddedInt_from_swv,electrode_from_swv,current_from_maxs_from_swv,max_current_from_swv,E_from_mins_from_swv,current_from_mins_from_swv,min_current_from_swv,signal_from_swv,PHZadded_from_gc,echem_from_gc,minutes_from_gc,E_from_maxs_from_gc,t_from_maxs,PHZaddedInt_from_gc,electrode_from_gc,current_from_maxs_from_gc,max_current_from_gc,E_from_mins_from_gc,t_from_mins,current_from_mins_from_gc,min_current_from_gc,signal_from_gc
75uM,control,soak,1,SWV,0,941.1833333333333,-0.267,75,i1,3.5177354e-6,3.5177354e-6,-0.082,1.0069284e-7,1.0069284e-7,3.41704256e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75uM,control,transfer,1,SWV,0,951.75,-0.268,75,i1,3.7691048e-6,3.7691048e-6,-0.095,1.0013216e-7,1.0013216e-7,3.6689726400000002e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75uM,control,transfer,1,SWV,9,977.2833333333333,-0.268,75,i1,2.6129675e-7,2.6129675e-7,-0.057,9.3469865e-8,9.3469865e-8,1.6782688500000002e-7,75uM,GC,976.9333333333333,-0.399,133.33363,75,i2,2.9271593e-8,2.9271593e-8,-0.198,66.333252,9.2782768e-9,9.2782768e-9,1.9993316200000004e-8
75uM,control,transfer,1,SWV,10,980.0666666666667,-0.272,75,i1,2.5672881e-7,2.5672881e-7,-0.127,8.9347168e-8,8.9347168e-8,1.6738164200000003e-7,75uM,GC,979.7833333333333,-0.399,133.33363,75,i2,2.6450426e-8,2.6450426e-8,-0.199,66.666588,8.8495549e-9,8.8495549e-9,1.7600871099999997e-8
75uM,control,transfer,1,SWV,11,983.5166666666667,-0.271,75,i1,2.3202558e-7,2.3202558e-7,-0.088,8.9742947e-8,8.9742947e-8,1.42282633e-7,75uM,GC,983.1666666666666,-0.399,133.33363,75,i2,2.2212088e-8,2.2212088e-8,-0.205,68.666603,8.9830365e-9,8.9830365e-9,1.3229051499999999e-8
75uM,control,transfer,1,SWV,12,986.2166666666667,-0.264,75,i1,2.3763246e-7,2.3763246e-7,-0.115,8.8572101e-8,8.8572101e-8,1.49060359e-7,75uM,GC,985.9666666666667,-0.399,133.33363,75,i2,2.1074179e-8,2.1074179e-8,-0.198,66.333252,7.8754825e-9,7.8754825e-9,1.3198696500000002e-8
75uM,control,transfer,1,SWV,13,988.9666666666667,-0.274,75,i1,2.2275776e-7,2.2275776e-7,-0.072,8.9825399e-8,8.9825399e-8,1.32932361e-7,75uM,GC,988.65,-0.399,133.33363,75,i2,1.8669674e-8,1.8669674e-8,-0.204,68.333267,7.5017983e-9,7.5017983e-9,1.11678757e-8
75uM,control,transfer,1,SWV,14,991.7833333333333,-0.26,75,i1,2.1185734e-7,2.1185734e-7,-0.072,9.1260098e-8,9.1260098e-8,1.20597242e-7,75uM,GC,991.4166666666666,-0.399,133.33363,75,i2,1.5683634e-8,1.5683634e-8,-0.209,69.999947,7.0139632e-9,7.0139632e-9,8.669670799999999e-9
75uM,control,transfer,1,SWV,15,994.5666666666667,-0.275,75,i1,2.1319309e-7,2.1319309e-7,-0.123,9.2562871e-8,9.2562871e-8,1.20630219e-7,75uM,GC,994.2333333333333,-0.399,133.33363,75,i2,1.5353406e-8,1.5353406e-8,-0.209,69.999947,6.9153101e-9,6.9153101e-9,8.438095899999998e-9
75uM,control,transfer,1,SWV,1,954.6666666666666,-0.266,75,i1,1.263789e-6,1.263789e-6,-0.04,9.774098e-8,9.774098e-8,1.16604802e-6,75uM,GC,954.3666666666667,-0.399,133.33363,75,i2,3.3464687e-7,3.3464687e-7,-0.163,54.666603,2.9937162e-8,2.9937162e-8,3.0470970800000003e-7
75uM,control,transfer,1,SWV,2,957.35,-0.265,75,i1,8.4358703e-7,8.4358703e-7,-0.034,9.783993e-8,9.783993e-8,7.457471e-7,75uM,GC,957.1,-0.399,133.33363,75,i2,1.9688729e-7,1.9688729e-7,-0.169,56.666595,2.3909644e-8,2.3909644e-8,1.72977646e-7
75uM,control,transfer,1,SWV,3,960.0833333333334,-0.266,75,i1,6.2495195e-7,6.2495195e-7,-0.073,9.21506e-8,9.21506e-8,5.3280135e-7,75uM,GC,959.8333333333334,-0.399,133.33363,75,i2,1.3323783e-7,1.3323783e-7,-0.167,55.999931,2.0071671e-8,2.0071671e-8,1.1316615900000002e-7
75uM,control,transfer,1,SWV,4,963.0166666666667,-0.268,75,i1,4.7336849e-7,4.7336849e-7,-0.085,9.4459317e-8,9.4459317e-8,3.78909173e-7,75uM,GC,962.5833333333334,-0.399,133.33363,75,i2,9.4199699e-8,9.4199699e-8,-0.178,59.666584,1.6744776e-8,1.6744776e-8,7.7454923e-8
75uM,control,transfer,1,SWV,5,965.75,-0.266,75,i1,4.0453588e-7,4.0453588e-7,-0.078,9.2513403e-8,9.2513403e-8,3.12022477e-7,75uM,GC,965.45,-0.399,133.33363,75,i2,7.0591526e-8,7.0591526e-8,-0.184,61.666576,1.4271574e-8,1.4271574e-8,5.6319952e-8
75uM,control,transfer,1,SWV,6,968.45,-0.268,75,i1,3.5851005e-7,3.5851005e-7,-0.111,9.1853778e-8,9.1853778e-8,2.66656272e-7,75uM,GC,968.2,-0.399,133.33363,75,i2,5.5431819e-8,5.5431819e-8,-0.179,59.999916,1.2711252e-8,1.2711252e-8,4.2720567e-8
75uM,control,transfer,1,SWV,7,971.6666666666666,-0.264,75,i1,3.0000069e-7,3.0000069e-7,-0.088,9.0534499e-8,9.0534499e-8,2.0946619099999998e-7,75uM,GC,970.9,-0.399,133.33363,75,i2,4.3159424e-8,4.3159424e-8,-0.19,63.666569,1.133466e-8,1.133466e-8,3.1824764e-8
75uM,control,transfer,1,SWV,8,974.4,-0.265,75,i1,2.8309759e-7,2.8309759e-7,-0.072,9.040258e-8,9.040258e-8,1.9269500999999998e-7,75uM,GC,974.1166666666667,-0.399,133.33363,75,i2,3.3903586e-8,3.3903586e-8,-0.195,65.333244,1.006383e-8,1.006383e-8,2.3839755999999995e-8
75uM,control,soak,2,SWV,0,1009.4,-0.27,75,i1,3.5580556e-6,3.5580556e-6,-0.058,6.8849104e-8,6.8849104e-8,3.4892064960000003e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75uM,control,transfer,2,SWV,0,1017.4666666666667,-0.27,75,i1,2.495718e-6,2.495718e-6,-0.087,9.1853764e-8,9.1853764e-8,2.4038642360000003e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75uM,control,transfer,2,SWV,9,1042.5833333333333,-0.27,75,i1,2.1929469e-7,2.1929469e-7,-0.094,8.233858e-8,8.233858e-8,1.3695611e-7,75uM,GC,1042.3,-0.399,133.33363,75,i2,1.2988999e-8,1.2988999e-8,-0.212,70.999954,5.9018568e-9,5.9018568e-9,7.087142199999999e-9
75uM,control,transfer,2,SWV,10,1045.3833333333334,-0.28,75,i1,2.049312e-7,2.049312e-7,-0.121,8.5273939e-8,8.5273939e-8,1.1965726100000002e-7,75uM,GC,1045.05,-0.399,133.33363,75,i2,1.1268838e-8,1.1268838e-8,-0.213,71.33329,5.8250906e-9,5.8250906e-9,5.4437473999999995e-9
75uM,control,transfer,2,SWV,11,1048.2333333333333,-0.261,75,i1,1.9958819e-7,1.9958819e-7,-0.083,8.3888708e-8,8.3888708e-8,1.15699482e-7,75uM,GC,1047.9166666666667,-0.399,133.33363,75,i2,1.0727723e-8,1.0727723e-8,-0.217,72.666634,5.6336154e-9,5.6336154e-9,5.0941075999999995e-9
75uM,control,transfer,2,SWV,12,1050.9666666666667,-0.263,75,i1,2.0575574e-7,2.0575574e-7,-0.104,8.5834628e-8,8.5834628e-8,1.19921112e-7,75uM,GC,1050.6666666666667,-0.399,133.33363,75,i2,9.9771587e-9,9.9771587e-9,-0.218,72.999969,5.3440461e-9,5.3440461e-9,4.6331125999999995e-9
75uM,control,transfer,2,SWV,13,1053.9333333333334,-0.288,75,i1,2.0024781e-7,2.0024781e-7,-0.093,7.9221813e-8,7.9221813e-8,1.21025997e-7,75uM,GC,1053.6166666666666,-0.399,133.33363,75,i2,9.8222683e-9,9.8222683e-9,-0.218,72.999969,5.40859e-9,5.40859e-9,4.4136783e-9
75uM,control,transfer,2,SWV,14,1056.6833333333334,-0.284,75,i1,1.9224977e-7,1.9224977e-7,-0.144,8.7450722e-8,8.7450722e-8,1.04799048e-7,75uM,GC,1056.4,-0.399,133.33363,75,i2,8.8099332e-9,8.8099332e-9,-0.221,73.999977,5.1714228e-9,5.1714228e-9,3.638510399999999e-9
75uM,control,transfer,2,SWV,15,1059.5,-0.28,75,i1,1.9025438e-7,1.9025438e-7,-0.099,8.2833296e-8,8.2833296e-8,1.07421084e-7,75uM,GC,1059.15,-0.399,133.33363,75,i2,7.9454585e-9,7.9454585e-9,-0.222,74.333313,4.9423234e-9,4.9423234e-9,3.0031350999999997e-9
75uM,control,transfer,2,SWV,1,1020.4,-0.275,75,i1,8.1171027e-7,8.1171027e-7,-0.075,8.8621576e-8,8.8621576e-8,7.23088694e-7,75uM,GC,1020.0833333333334,-0.399,133.33363,75,i2,1.5488308e-7,1.5488308e-7,-0.176,58.99992,1.5244606e-8,1.5244606e-8,1.39638474e-7
75uM,control,transfer,2,SWV,2,1023.1333333333333,-0.265,75,i1,5.3735283e-7,5.3735283e-7,-0.063,8.2486991e-8,8.2486991e-8,4.5486583900000004e-7,75uM,GC,1022.8333333333334,-0.399,133.33363,75,i2,8.063148e-8,8.063148e-8,-0.183,61.333244,1.1425086e-8,1.1425086e-8,6.920639399999999e-8
75uM,control,transfer,2,SWV,3,1025.8666666666666,-0.271,75,i1,4.1680502e-7,4.1680502e-7,-0.064,7.704503e-8,7.704503e-8,3.3975999000000004e-7,75uM,GC,1025.6166666666666,-0.399,133.33363,75,i2,4.9406939e-8,4.9406939e-8,-0.189,63.333237,9.8820996e-9,9.8820996e-9,3.9524839399999997e-8
75uM,control,transfer,2,SWV,4,1028.55,-0.271,75,i1,3.4373429e-7,3.4373429e-7,-0.143,8.5818137e-8,8.5818137e-8,2.5791615300000004e-7,75uM,GC,1028.2833333333333,-0.399,133.33363,75,i2,3.3036876e-8,3.3036876e-8,-0.196,65.66658,8.2653031e-9,8.2653031e-9,2.47715729e-8
75uM,control,transfer,2,SWV,5,1031.2666666666667,-0.271,75,i1,2.8750065e-7,2.8750065e-7,-0.129,8.5950063e-8,8.5950063e-8,2.0155058699999996e-7,75uM,GC,1030.9833333333333,-0.399,133.33363,75,i2,2.6007804e-8,2.6007804e-8,-0.201,67.33326,7.6991853e-9,7.6991853e-9,1.83086187e-8
75uM,control,transfer,2,SWV,6,1034.4,-0.273,75,i1,2.650072e-7,2.650072e-7,-0.09,7.9436191e-8,7.9436191e-8,1.8557100900000002e-7,75uM,GC,1034.1666666666667,-0.399,133.33363,75,i2,2.0422588e-8,2.0422588e-8,-0.207,69.333275,7.371991e-9,7.371991e-9,1.3050597000000001e-8
75uM,control,transfer,2,SWV,7,1037.1,-0.272,75,i1,2.4030399e-7,2.4030399e-7,-0.151,8.8390699e-8,8.8390699e-8,1.5191329100000002e-7,75uM,GC,1036.8166666666666,-0.399,133.33363,75,i2,1.6998001e-8,1.6998001e-8,-0.207,69.333275,6.6390804e-9,6.6390804e-9,1.0358920600000001e-8
75uM,control,transfer,2,SWV,8,1039.8333333333333,-0.268,75,i1,2.2170235e-7,2.2170235e-7,-0.08,8.3657838e-8,8.3657838e-8,1.38044512e-7,75uM,GC,1039.5833333333333,-0.399,133.33363,75,i2,1.4154788e-8,1.4154788e-8,-0.211,70.666618,6.3169994e-9,6.3169994e-9,7.8377886e-9
75uM,control,soak,3,SWV,0,1102.15,-0.268,75,i1,3.8686926e-6,3.8686926e-6,-0.049,1.0425487e-7,1.0425487e-7,3.76443773e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75uM,control,transfer,3,SWV,0,1108.9833333333333,-0.27,75,i1,2.7713618e-6,2.7713618e-6,-0.075,9.7114338e-8,9.7114338e-8,2.674247462e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75uM,control,transfer,3,SWV,9,1134.0833333333333,-0.268,75,i1,2.7989839e-7,2.7989839e-7,-0.092,9.3271979e-8,9.3271979e-8,1.8662641099999998e-7,75uM,GC,1133.8166666666666,-0.399,133.33363,75,i2,2.0584906e-8,2.0584906e-8,-0.205,68.666603,7.2870772e-9,7.2870772e-9,1.32978288e-8
75uM,control,transfer,3,SWV,10,1136.8166666666666,-0.265,75,i1,2.6429808e-7,2.6429808e-7,-0.08,9.302461e-8,9.302461e-8,1.7127346999999996e-7,75uM,GC,1136.5333333333333,-0.399,133.33363,75,i2,1.8555285e-8,1.8555285e-8,-0.205,68.666603,6.9525345e-9,6.9525345e-9,1.1602750500000001e-8
75uM,control,transfer,3,SWV,11,1139.6333333333334,-0.264,75,i1,2.5484886e-7,2.5484886e-7,-0.117,9.351934e-8,9.351934e-8,1.6132951999999998e-7,75uM,GC,1139.25,-0.399,133.33363,75,i2,1.6692214e-8,1.6692214e-8,-0.208,69.666611,6.8481296e-9,6.8481296e-9,9.844084399999999e-9
75uM,control,transfer,3,SWV,12,1142.4,-0.278,75,i1,2.4078219e-7,2.4078219e-7,-0.071,8.8786479e-8,8.8786479e-8,1.5199571100000002e-7,75uM,GC,1142.0833333333333,-0.399,133.33363,75,i2,1.5177665e-8,1.5177665e-8,-0.209,69.999947,6.499608e-9,6.499608e-9,8.678057000000002e-9
75uM,control,transfer,3,SWV,13,1145.1666666666667,-0.278,75,i1,2.3194313e-7,2.3194313e-7,-0.097,8.6939508e-8,8.6939508e-8,1.45003622e-7,75uM,GC,1144.8833333333334,-0.399,133.33363,75,i2,1.3730538e-8,1.3730538e-8,-0.211,70.666618,6.3253069e-9,6.3253069e-9,7.405231100000001e-9
75uM,control,transfer,3,SWV,14,1148,-0.265,75,i1,2.2366474e-7,2.2366474e-7,-0.084,9.1870263e-8,9.1870263e-8,1.3179447699999998e-7,75uM,GC,1147.6333333333334,-0.399,133.33363,75,i2,1.266572e-8,1.266572e-8,-0.214,71.666626,6.1947811e-9,6.1947811e-9,6.470938900000001e-9
75uM,control,transfer,3,SWV,15,1150.7666666666667,-0.268,75,i1,2.2247741e-7,2.2247741e-7,-0.092,9.21506e-8,9.21506e-8,1.3032681e-7,75uM,GC,1150.4333333333334,-0.399,133.33363,75,i2,1.2138425e-8,1.2138425e-8,-0.213,71.33329,5.8369136e-9,5.8369136e-9,6.3015114000000005e-9
75uM,control,transfer,3,SWV,1,1111.8833333333334,-0.272,75,i1,1.1313185e-6,1.1313185e-6,-0.058,9.8697448e-8,9.8697448e-8,1.032621052e-6,75uM,GC,1111.4833333333333,-0.399,133.33363,75,i2,2.4151404e-7,2.4151404e-7,-0.173,57.999924,2.4928131e-8,2.4928131e-8,2.16585909e-7
75uM,control,transfer,3,SWV,2,1114.5666666666666,-0.269,75,i1,7.7211587e-7,7.7211587e-7,-0.112,9.2430945e-8,9.2430945e-8,6.79684925e-7,75uM,GC,1114.3,-0.399,133.33363,75,i2,1.3029612e-7,1.3029612e-7,-0.181,60.66658,1.7528331e-8,1.7528331e-8,1.12767789e-7
75uM,control,transfer,3,SWV,3,1117.2833333333333,-0.27,75,i1,6.0709243e-7,6.0709243e-7,-0.056,9.4261424e-8,9.4261424e-8,5.12831006e-7,75uM,GC,1117,-0.399,133.33363,75,i2,8.9127084e-8,8.9127084e-8,-0.183,61.333244,1.4216694e-8,1.4216694e-8,7.491039e-8
75uM,control,transfer,3,SWV,4,1120.05,-0.27,75,i1,4.9508685e-7,4.9508685e-7,-0.092,9.3156544e-8,9.3156544e-8,4.0193030599999995e-7,75uM,GC,1119.75,-0.399,133.33363,75,i2,6.1866494e-8,6.1866494e-8,-0.188,62.999905,1.1784391e-8,1.1784391e-8,5.0082103e-8
75uM,control,transfer,3,SWV,5,1122.8666666666666,-0.274,75,i1,4.1169287e-7,4.1169287e-7,-0.088,9.6174361e-8,9.6174361e-8,3.15518509e-7,75uM,GC,1122.4833333333333,-0.399,133.33363,75,i2,4.6520508e-8,4.6520508e-8,-0.194,64.999908,1.0103291e-8,1.0103291e-8,3.6417217e-8
75uM,control,transfer,3,SWV,6,1125.8333333333333,-0.269,75,i1,3.5498101e-7,3.5498101e-7,-0.107,9.3090577e-8,9.3090577e-8,2.61890433e-7,75uM,GC,1125.3166666666666,-0.399,133.33363,75,i2,3.6709334e-8,3.6709334e-8,-0.198,66.333252,9.2082209e-9,9.2082209e-9,2.7501113100000004e-8
75uM,control,transfer,3,SWV,7,1128.6333333333334,-0.275,75,i1,3.1728302e-7,3.1728302e-7,-0.118,9.6669083e-8,9.6669083e-8,2.20613937e-7,75uM,GC,1128.3,-0.399,133.33363,75,i2,2.8860363e-8,2.8860363e-8,-0.201,67.33326,8.4058938e-9,8.4058938e-9,2.0454469200000003e-8
