PHZadded,molecule,reactor,echem_from_swv,minutes_from_swv,E_from_maxs_from_swv,PHZaddedInt,electrode_from_swv,current_from_maxs_from_swv,max_current_from_swv,E_from_mins_from_swv,current_from_mins_from_swv,min_current_from_swv,signal_from_swv,echem_from_gc,minutes_from_gc,E_from_maxs_from_gc,t_from_maxs,electrode_from_gc,current_from_maxs_from_gc,max_current_from_gc,E_from_mins_from_gc,t_from_mins,current_from_mins_from_gc,min_current_from_gc,signal_from_gc
100uM,PYO,soak,SWVfast.txt,1154.8333333333333,-0.278,100,i1,1.2373082e-5,1.2373082e-5,0.006,2.6799205e-7,2.6799205e-7,1.2105089949999999e-5,GC.txt,1154.1333333333334,-0.484,205.66586,i1,2.4898068e-6,2.4898068e-6,0.1,0.33333334,-3.8598145e-8,-3.8598145e-8,2.528404945e-6
100uM,PYO,soak,SWVfast.txt,1154.8333333333333,-0.278,100,i1,1.2373082e-5,1.2373082e-5,0.006,2.6799205e-7,2.6799205e-7,1.2105089949999999e-5,GC.txt,1154.1333333333334,0.098,399.66946,i2,-1.5372705e-9,-1.5372705e-9,-0.499,199.99928,-2.2401889e-6,-2.2401889e-6,2.2386516295e-6
10uM,PYO,soak,SWVfast.txt,1032.4,-0.284,10,i1,2.1487845e-6,2.1487845e-6,-0.007,1.4836775e-7,1.4836775e-7,2.0004167500000003e-6,GC.txt,1018.6833333333333,-0.479,193.33272,i1,2.7494633e-7,2.7494633e-7,0.1,0.33333334,-1.2455171e-8,-1.2455171e-8,2.87401501e-7
10uM,PYO,soak,SWVfast.txt,1032.4,-0.284,10,i1,2.1487845e-6,2.1487845e-6,-0.007,1.4836775e-7,1.4836775e-7,2.0004167500000003e-6,GC.txt,1018.6833333333333,0.098,399.66946,i2,3.379065e-9,3.379065e-9,-0.458,186.33282,-2.3139829e-7,-2.3139829e-7,2.34777355e-7
25uM,PYO,soak,SWVfast.txt,1061.1333333333334,-0.279,25,i1,4.1033732e-6,4.1033732e-6,-0.021,2.0412315e-7,2.0412315e-7,3.89925005e-6,GC.txt,1054.6666666666667,-0.488,196.33267,i1,6.7933951e-7,6.7933951e-7,0.1,0.33333334,-1.9736346e-8,-1.9736346e-8,6.99075856e-7
25uM,PYO,soak,SWVfast.txt,1061.1333333333334,-0.279,25,i1,4.1033732e-6,4.1033732e-6,-0.021,2.0412315e-7,2.0412315e-7,3.89925005e-6,GC.txt,1054.6666666666667,0.098,399.66946,i2,3.2496574e-9,3.2496574e-9,-0.497,201.3326,-5.7757399e-7,-5.7757399e-7,5.808236474e-7
50uM,PYO,soak,SWVfast.txt,1105.85,-0.28,50,i1,6.9212392e-6,6.9212392e-6,0.004,2.3339433e-7,2.3339433e-7,6.68784487e-6,GC.txt,1103.4166666666667,-0.494,198.33264,i1,1.373279e-6,1.373279e-6,0.1,0.33333334,-1.3171706e-8,-1.3171706e-8,1.386450706e-6
50uM,PYO,soak,SWVfast.txt,1105.85,-0.28,50,i1,6.9212392e-6,6.9212392e-6,0.004,2.3339433e-7,2.3339433e-7,6.68784487e-6,GC.txt,1103.4166666666667,0.099,400.00281,i2,2.8997775e-9,2.8997775e-9,-0.473,191.33275,-1.1146244e-6,-1.1146244e-6,1.1175241775000002e-6
75uM,PYO,soak,SWVfast.txt,1134.0833333333333,-0.278,75,i1,9.5987689e-6,9.5987689e-6,-0.013,2.6179148e-7,2.6179148e-7,9.33697742e-6,GC.txt,1132.9333333333334,-0.465,188.66612,i1,1.9666434e-6,1.9666434e-6,0.1,0.33333334,-1.4359411e-8,-1.4359411e-8,1.981002811e-6
75uM,PYO,soak,SWVfast.txt,1134.0833333333333,-0.278,75,i1,9.5987689e-6,9.5987689e-6,-0.013,2.6179148e-7,2.6179148e-7,9.33697742e-6,GC.txt,1132.9333333333334,0.094,398.33609,i2,-1.437419e-9,-1.437419e-9,-0.483,205.99919,-1.6728006e-6,-1.6728006e-6,1.671363181e-6
100uM,PYO,soak,SWVfast.txt,1154.8333333333333,-0.281,100,i2,9.1374714e-6,9.1374714e-6,0.015,1.0784984e-7,1.0784984e-7,9.02962156e-6,GC.txt,1154.1333333333334,-0.484,205.66586,i1,2.4898068e-6,2.4898068e-6,0.1,0.33333334,-3.8598145e-8,-3.8598145e-8,2.528404945e-6
100uM,PYO,soak,SWVfast.txt,1154.8333333333333,-0.281,100,i2,9.1374714e-6,9.1374714e-6,0.015,1.0784984e-7,1.0784984e-7,9.02962156e-6,GC.txt,1154.1333333333334,0.098,399.66946,i2,-1.5372705e-9,-1.5372705e-9,-0.499,199.99928,-2.2401889e-6,-2.2401889e-6,2.2386516295e-6
10uM,PYO,soak,SWVfast.txt,1032.4,-0.277,10,i2,1.5765372e-6,1.5765372e-6,-0.06,5.5837855e-8,5.5837855e-8,1.520699345e-6,GC.txt,1018.6833333333333,-0.479,193.33272,i1,2.7494633e-7,2.7494633e-7,0.1,0.33333334,-1.2455171e-8,-1.2455171e-8,2.87401501e-7
10uM,PYO,soak,SWVfast.txt,1032.4,-0.277,10,i2,1.5765372e-6,1.5765372e-6,-0.06,5.5837855e-8,5.5837855e-8,1.520699345e-6,GC.txt,1018.6833333333333,0.098,399.66946,i2,3.379065e-9,3.379065e-9,-0.458,186.33282,-2.3139829e-7,-2.3139829e-7,2.34777355e-7
25uM,PYO,soak,SWVfast.txt,1061.1333333333334,-0.279,25,i2,2.917322e-6,2.917322e-6,0.024,8.5603759e-8,8.5603759e-8,2.8317182410000003e-6,GC.txt,1054.6666666666667,-0.488,196.33267,i1,6.7933951e-7,6.7933951e-7,0.1,0.33333334,-1.9736346e-8,-1.9736346e-8,6.99075856e-7
25uM,PYO,soak,SWVfast.txt,1061.1333333333334,-0.279,25,i2,2.917322e-6,2.917322e-6,0.024,8.5603759e-8,8.5603759e-8,2.8317182410000003e-6,GC.txt,1054.6666666666667,0.098,399.66946,i2,3.2496574e-9,3.2496574e-9,-0.497,201.3326,-5.7757399e-7,-5.7757399e-7,5.808236474e-7
50uM,PYO,soak,SWVfast.txt,1105.85,-0.284,50,i2,5.0672775e-6,5.0672775e-6,0.028,9.8598512e-8,9.8598512e-8,4.968678988e-6,GC.txt,1103.4166666666667,-0.494,198.33264,i1,1.373279e-6,1.373279e-6,0.1,0.33333334,-1.3171706e-8,-1.3171706e-8,1.386450706e-6
50uM,PYO,soak,SWVfast.txt,1105.85,-0.284,50,i2,5.0672775e-6,5.0672775e-6,0.028,9.8598512e-8,9.8598512e-8,4.968678988e-6,GC.txt,1103.4166666666667,0.099,400.00281,i2,2.8997775e-9,2.8997775e-9,-0.473,191.33275,-1.1146244e-6,-1.1146244e-6,1.1175241775000002e-6
75uM,PYO,soak,SWVfast.txt,1134.0833333333333,-0.283,75,i2,7.1113286e-6,7.1113286e-6,0.011,9.751011e-8,9.751011e-8,7.0138184900000005e-6,GC.txt,1132.9333333333334,-0.465,188.66612,i1,1.9666434e-6,1.9666434e-6,0.1,0.33333334,-1.4359411e-8,-1.4359411e-8,1.981002811e-6
75uM,PYO,soak,SWVfast.txt,1134.0833333333333,-0.283,75,i2,7.1113286e-6,7.1113286e-6,0.011,9.751011e-8,9.751011e-8,7.0138184900000005e-6,GC.txt,1132.9333333333334,0.094,398.33609,i2,-1.437419e-9,-1.437419e-9,-0.483,205.99919,-1.6728006e-6,-1.6728006e-6,1.671363181e-6
